sign,time
5,0.6157679557800293
11,0.6110873222351074
12,0.5954258441925049
13,0.5891122817993164
14,0.6059229373931885
15,0.5828886032104492
16,0.5848593711853027
17,0.5907392501831055
18,0.6032960414886475
19,0.6016335487365723
20,0.6050238609313965
21,0.5894613265991211
29,0.5734186172485352
30,0.563246488571167
40,0.5965898036956787
50,0.5664465427398682
60,0.5952768325805664
70,0.5717453956604004
80,0.5990941524505615
90,0.594224214553833
101,0.8039536476135254
110,0.7972683906555176
200,0.7939927577972412
900,0.7962226867675781
1000,0.5732908248901367
1001,0.8120627403259277
1000000,0.572556734085083
1100000,1.4166123867034912
ʾ,0.3153207302093506
˅,0.3311457633972168
.,0.5774462223052979
/,0.5757098197937012
?,0.719184398651123
\,0.5662193298339844
^,0.5666725635528564
_eyes_,0.33061981201171875
~,0.8517088890075684
1_tháng,0.5701982975006104
2_tháng,0.5451502799987793
3_tháng,0.5497627258300781
4_tháng,0.5492820739746094
5_th,0.5512981414794922
5_tháng,0.5862581729888916
a,0.3352701663970947
â,0.5401468276977539
ă,1.023855209350586
a_clare,0.3235495090484619
about_,0.7455317974090576
access_nb,0.8990387916564941
act,1.161344051361084
actor,1.1638143062591553
add,0.5789337158203125
address,0.9644439220428467
adult,1.1019532680511475
advice,0.5526988506317139
afternoon,0.5880699157714844
again,0.8341958522796631
again_again,1.1598575115203857
again2,0.8392055034637451
agree,0.5497875213623047
aim,0.5998458862304688
alarm,0.8967428207397461
alien,1.2997734546661377
all,0.5747470855712891
all_day,0.5793960094451904
all_of_us,0.6228907108306885
all_over_norfolk,0.8665378093719482
all_over_uk,0.7434406280517578
all_over_uk,0.749913215637207
always,0.5510725975036621
ấm,0.5653555393218994
ẵm,0.7541940212249756
ầm_ầm,1.189319372177124
ấm_đun_nước,1.3133563995361328
ấm_trà,0.6140260696411133
ẩm_ướt,1.421959400177002
ăn,0.5747654438018799
ăn_cơm,1.0184869766235352
an_ninh,0.7425823211669922
ăn_ở,1.613144874572754
an_toàn,0.9734587669372559
an_toàn,0.9886233806610107
and,0.6364774703979492
angry,0.6347029209136963
anh,0.7695956230163574
anh_cả,0.7534782886505127
anh_em_họ_hàng,1.0798852443695068
anh_em_ruột,1.496643304824829
anh_hai,0.5843491554260254
anh_hùng,1.2187707424163818
anh_hùng_dân_tộc,1.2078866958618164
ánh_nắng,0.5413093566894531
anh_rể,0.5968360900878906
ánh_sáng,0.5541970729827881
animal,1.176457166671753
animation,0.8832859992980957
any,0.5731570720672607
anything,0.557340145111084
ao,1.4964606761932373
áo,0.8941287994384766
áo_ba_lỗ,1.6292593479156494
áo_comple,1.7159149646759033
áo_dài,1.1902096271514893
áo_dài_tay,0.9230384826660156
áo_đầm,0.9289798736572266
áo_gió,0.9052462577819824
áo_lạnh,0.911961555480957
áo_len,1.5147628784179688
áo_ngắn_tay,0.9070649147033691
áo_phông,1.2130675315856934
áo_sơ_mi,1.2175636291503906
áo_thun,0.9174182415008545
áo_veston,0.9173421859741211
apple,0.5836765766143799
appointment,0.5941970348358154
april,0.752314567565918
area,1.1867318153381348
arm,0.5692334175109863
around,0.7484371662139893
arrow,0.563706636428833
ask,0.5628352165222168
ask_question,0.5576009750366211
asleep,0.33577942848205566
associate_with,0.8874678611755371
association,0.8889563083648682
at_last_,0.5518202781677246
attend,0.8967983722686768
attitude,0.55295729637146
available,0.8676228523254395
avatar,0.9011960029602051
awareness,0.9052708148956299
b,0.3198261260986328
bà,0.5818846225738525
ba_là,0.3164820671081543
ba_lô,0.7468361854553223
bà_ngoại,0.7632865905761719
bà_nội,0.752877950668335
bác,0.5581917762756348
bắc,0.3274252414703369
bạc,0.5699374675750732
bác_gái,0.5531289577484131
bác_hồ,0.9058632850646973
bạc_màu,1.4811255931854248
bác_sĩ,1.5981030464172363
bác_sĩ,1.59450101852417
bác_trai,0.5529177188873291
back,0.6002006530761719
bad,0.5453364849090576
bag,0.874537467956543
bãi_biển,1.0142295360565186
bài_thi,1.1007208824157715
ball,0.5896193981170654
ball_big,0.6296353340148926
ball_bouncing,0.8745782375335693
ball_round,0.630791187286377
ball_soft,0.8897545337677002
ball_throw,0.632246732711792
balloon,0.5658535957336426
bàn,0.5392415523529053
bẩn,0.7519857883453369
bạn,0.3136558532714844
bạn_bè,0.3465433120727539
bắn_bi,0.8710119724273682
bàn_chải_đánh_răng,1.1865754127502441
bàn_chân,0.7832050323486328
ban_hành,0.7530496120452881
bàn_tay,0.7966282367706299
bạn_thân,0.9167695045471191
bàn_thờ,0.8208296298980713
bán_vé,1.1958024501800537
banana,0.6142532825469971
banana_with_peel,0.972686767578125
bảng,1.204533576965332
bánh,0.33260536193847656
bão,1.3147249221801758
bao_nhiêu,1.000464916229248
bao_nhiêu_tiền,0.5538465976715088
bảo_quản,0.780250072479248
bao_xa,0.5602850914001465
bập_bênh,0.8968245983123779
bat,0.5704624652862549
bật,0.5576756000518799
bất_cứ_điều_gì,0.9991228580474854
bắt_đầu,0.5810685157775879
bầu_trời,0.79966139793396
bay,0.5526819229125977
bây_giờ,1.213024377822876
bê,0.7566194534301758
bế,0.757343053817749
bể_cá,2.203723907470703
bế_giảng,1.2278635501861572
bế_mạc,0.759774923324585
bề_mặt_cong,0.6047687530517578
bear,0.8862292766571045
bear_furry,0.8971710205078125
bear_nb,0.3193929195404053
bear_with_it_,0.8844952583312988
become,0.7745213508605957
bed,0.3341047763824463
been,0.5619630813598633
been_go,0.7576212882995605
been_go,0.7385263442993164
been_go,0.7704687118530273
been_in,0.5331683158874512
been_to,0.5390419960021973
